Channel,LocID Root,Baseline,Band,Inst. Code,Orien. Code,sps,LocID,Chan Code,locID.CHA
180,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,V,0.25,16,VMV,16.VMV
181,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,V,0.2,17,VMV,17.VMV
182,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,V,0.1,18,VMV,18.VMV
183,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,V,0.05,15,UMV,15.UMV
184,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,V,0.025,16,UMV,16.UMV
185,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,V,0.02,17,UMV,17.UMV
186,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,U,M,V,0.01,18,UMV,18.UMV
187,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,V,0.005,15,RMV,15.RMV
188,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,V,0.001,16,RMV,16.RMV
189,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,V,1/1800,17,RMV,17.RMV
190,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,R,M,V,1/3600,18,RMV,18.RMV
191,VBB 2 Temperature,00,Transmitted raw data,L,K,V,1,00,LKV,00.LKV
192,VBB 2 Temperature,00,Transmitted raw data,V,K,V,0.5,00,VKV,00.VKV
193,VBB 2 Temperature,00,Transmitted raw data,V,K,V,0.25,01,VKV,01.VKV
194,VBB 2 Temperature,00,Transmitted raw data,V,K,V,0.2,02,VKV,02.VKV
195,VBB 2 Temperature,00,Transmitted raw data,V,K,V,0.1,03,VKV,03.VKV
196,VBB 2 Temperature,00,Transmitted raw data,U,K,V,0.05,00,UKV,00.UKV
197,VBB 2 Temperature,00,Transmitted raw data,U,K,V,0.025,01,UKV,01.UKV
198,VBB 2 Temperature,00,Transmitted raw data,U,K,V,0.02,02,UKV,02.UKV
199,VBB 2 Temperature,00,Transmitted raw data,U,K,V,0.01,03,UKV,03.UKV
200,VBB 2 Temperature,00,Transmitted raw data,R,K,V,0.005,00,RKV,00.RKV
201,VBB 2 Temperature,00,Transmitted raw data,R,K,V,0.001,01,RKV,01.RKV
202,VBB 2 Temperature,00,Transmitted raw data,R,K,V,1/1800,02,RKV,02.RKV
203,VBB 2 Temperature,00,Transmitted raw data,R,K,V,1/3600,03,RKV,03.RKV
204,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,H,H,W,100,00,HHW,00.HHW
205,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,B,H,W,50,00,BHW,00.BHW
206,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,B,H,W,25,01,BHW,01.BHW
207,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,B,H,W,20,02,BHW,02.BHW
208,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,B,H,W,10,03,BHW,03.BHW
209,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,M,H,W,5,00,MHW,00.MHW
210,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,M,H,W,4,01,MHW,01.MHW
211,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,M,H,W,2,02,MHW,02.MHW
212,VBB 3 Velocity High Gain Science mode,00,Transmitted raw data,L,H,W,1,00,LHW,00.LHW
213,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,H,L,W,100,05,HLW,05.HLW
214,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,W,50,05,BLW,05.BLW
215,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,W,25,06,BLW,06.BLW
216,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,W,20,07,BLW,07.BLW
217,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,B,L,W,10,08,BLW,08.BLW
218,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,W,5,05,MLW,05.MLW
219,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,W,4,06,MLW,06.MLW
220,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,M,L,W,2,07,MLW,07.MLW
221,VBB 3 Velocity Low Gain Science mode,05,Transmitted raw data,L,L,W,1,05,LLW,05.LLW
222,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,H,H,W,100,10,HHW,10.HHW
223,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,W,50,10,BHW,10.BHW
224,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,W,25,11,BHW,11.BHW
225,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,W,20,12,BHW,12.BHW
226,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,B,H,W,10,13,BHW,13.BHW
227,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,W,5,10,MHW,10.MHW
228,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,W,4,11,MHW,11.MHW
229,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,M,H,W,2,12,MHW,12.MHW
230,VBB 3 Velocity High Gain Engin. mode,10,Transmitted raw data,L,H,W,1,10,LHW,10.LHW
231,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,H,L,W,100,15,HLW,15.HLW
232,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,W,50,15,BLW,15.BLW
233,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,W,25,16,BLW,16.BLW
234,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,W,20,17,BLW,17.BLW
235,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,B,L,W,10,18,BLW,18.BLW
236,VBB 3 Velocity Low Gain Engin. mode,15,Transmitted raw data,M,L,W,5,15,MLW,15.MLW
